ensembl,symbol,status
YJL091C,GWT1,Essential
YJL097W,PHS1,Essential
YJL104W,PAM16,Essential
YJL109C,UTP10,Essential
YJL111W,CCT7,Essential
YJL125C,GCD14,Essential
YJL143W,TIM17,Essential
YJL156C,SSY5,Essential
YJL167W,ERG20,Essential
YJL173C,RFA3,Essential
YJL174W,KRE9,Essential
YJL194W,CDC6,Essential
YJL195C,YJL195C,Essential
YJL202C,YJL202C,Essential
YJL203W,PRP21,Essential
YJR002W,MPP10,Essential
YJR006W,POL31,Essential
YJR007W,SUI2,Essential
YJR013W,GPI14,Essential
YJR016C,ILV3,Essential
YJR017C,ESS1,Essential
YJR022W,LSM8,Essential
YJR023C,YJR023C,Essential
YJR041C,URB2,Essential
YJR042W,NUP85,Essential
YJR045C,SSC1,Essential
YJR046W,TAH11,Essential
YJR057W,CDC8,Essential
YJR064W,CCT5,Essential
YJR065C,ARP3,Essential
YJR067C,YAE1,Essential
YJR068W,RFC2,Essential
YJR072C,NPA3,Essential
YJR076C,CDC11,Essential
YJR089W,BIR1,Essential
YJR093C,FIP1,Essential
YJR112W,NNF1,Essential
YJR123W,RPS5,Essential
YJR141W,YJR141W,Essential
YKL004W,AUR1,Essential
YKL006C-A,SFT1,Essential
YKL012W,PRP40,Essential
YKL013C,ARC19,Essential
YKL014C,URB1,Essential
YKL018W,SWD2,Essential
YKL019W,RAM2,Essential
YKL021C,MAK11,Essential
YKL022C,CDC16,Essential
YKL024C,URA6,Essential
YKL028W,TFA1,Essential
YKL033W,TTI1,Essential
YKL035W,UGP1,Essential
YKL036C,YKL036C,Essential
YKL042W,SPC42,Essential
YKL045W,PRI2,Essential
YKL049C,CSE4,Essential
YKL052C,ASK1,Essential
YKL058W,TOA2,Essential
YKL059C,MPE1,Essential
YKL060C,FBA1,Essential
YKL078W,DHR2,Essential
YKL082C,RRP14,Essential
YKL083W,YKL083W,Essential
YKL088W,CAB3,Essential
YKL089W,MIF2,Essential
YKL095W,YJU2,Essential
YKL099C,UTP11,Essential
YKL104C,GFA1,Essential
YKL108W,SLD2,Essential
YKL111C,YKL111C,Essential
YKL112W,ABF1,Essential
YKL122C,SRP21,Essential
YKL125W,RRN3,Essential
YKL139W,CTK1,Essential
YKL141W,SDH3,Essential
YKL144C,RPC25,Essential
YKL145W,RPT1,Essential
YKL152C,GPM1,Essential
YKL153W,YKL153W,Essential
YKL154W,SRP102,Essential
YKL165C,MCD4,Essential
YKL172W,EBP2,Essential
YKL173W,SNU114,Essential
YKL180W,RPL17A,Essential
YKL181W,PRS1,Essential
YKL182W,FAS1,Essential
YKL186C,MTR2,Essential
YKL189W,HYM1,Essential
YKL192C,ACP1,Essential
YKL193C,SDS22,Essential
YKL194C,MST1,Essential
YKL195W,MIA40,Essential
YKL196C,YKT6,Essential
YKL203C,TOR2,Essential
YKL209C,STE6,Essential
YKL210W,UBA1,Essential
YKR002W,PAP1,Essential
YKR004C,ECM9,Essential
YKR008W,RSC4,Essential
YKR022C,NTR2,Essential
YKR025W,RPC37,Essential
YKR037C,SPC34,Essential
YKR038C,KAE1,Essential
YKR062W,TFA2,Essential
YKR063C,LAS1,Essential
YKR068C,BET3,Essential
YKR071C,DRE2,Essential
YKR079C,TRZ1,Essential
YKR081C,RPF2,Essential
YKR083C,DAD2,Essential
YKR086W,PRP16,Essential
YLL003W,SFI1,Essential
YLL004W,ORC3,Essential
YLL008W,DRS1,Essential
YLL011W,SOF1,Essential
YLL018C,DPS1,Essential
YLL031C,GPI13,Essential
YLL034C,RIX7,Essential
YLL035W,GRC3,Essential
YLL036C,PRP19,Essential
YLL037W,YLL037W,Essential
YLL050C,COF1,Essential
YLR002C,NOC3,Essential
YLR005W,SSL1,Essential
YLR007W,NSE1,Essential
YLR008C,PAM18,Essential
YLR009W,RLP24,Essential
YLR010C,TEN1,Essential
YLR022C,SDO1,Essential
YLR026C,SED5,Essential
YLR029C,RPL15A,Essential
YLR033W,RSC58,Essential
YLR045C,STU2,Essential
YLR051C,FCF2,Essential
YLR060W,FRS1,Essential
YLR066W,SPC3,Essential
YLR071C,RGR1,Essential
YLR075W,RPL10,Essential
YLR076C,YLR076C,Essential
YLR078C,BOS1,Essential
YLR086W,SMC4,Essential
YLR088W,GAA1,Essential
YLR100W,ERG27,Essential
YLR101C,YLR101C,Essential
YLR103C,CDC45,Essential
YLR105C,SEN2,Essential
YLR106C,MDN1,Essential
YLR115W,CFT2,Essential
YLR116W,MSL5,Essential
YLR117C,CLF1,Essential
YLR127C,APC2,Essential
YLR129W,DIP2,Essential
YLR132C,USB1,Essential
YLR140W,YLR140W,Essential
YLR141W,RRN5,Essential
YLR145W,RMP1,Essential
YLR147C,SMD3,Essential
YLR153C,ACS2,Essential
YLR163C,MAS1,Essential
YLR166C,SEC10,Essential
YLR167W,RPS31,Essential
YLR175W,CBF5,Essential
YLR186W,EMG1,Essential
YLR195C,NMT1,Essential
YLR196W,PWP1,Essential
YLR197W,NOP56,Essential
YLR198C,YLR198C,Essential
YLR208W,SEC13,Essential
YLR212C,TUB4,Essential
YLR215C,CDC123,Essential
YLR222C,UTP13,Essential
YLR223C,IFH1,Essential
YLR229C,CDC42,Essential
YLR230W,YLR230W,Essential
YLR243W,YLR243W,Essential
YLR249W,YEF3,Essential
YLR259C,HSP60,Essential
YLR272C,YCS4,Essential
YLR274W,MCM5,Essential
YLR275W,SMD2,Essential
YLR276C,DBP9,Essential
YLR277C,YSH1,Essential
YLR291C,GCD7,Essential
YLR293C,GSP1,Essential
YLR298C,YHC1,Essential
YLR305C,STT4,Essential
YLR310C,CDC25,Essential
YLR314C,CDC3,Essential
YLR316C,TAD3,Essential
YLR317W,YLR317W,Essential
YLR321C,SFH1,Essential
YLR323C,CWC24,Essential
YLR336C,SGD1,Essential
YLR339C,YLR339C,Essential
YLR340W,RPP0,Essential
YLR347C,KAP95,Essential
YLR355C,ILV5,Essential
YLR359W,ADE13,Essential
YLR378C,SEC61,Essential
YLR379W,YLR379W,Essential
YLR383W,SMC6,Essential
YLR397C,AFG2,Essential
YLR409C,UTP21,Essential
YLR424W,SPP382,Essential
YLR430W,SEN1,Essential
YLR438C-A,LSM3,Essential
YLR440C,SEC39,Essential
YLR457C,NBP1,Essential
YLR458W,YLR458W,Essential
YLR459W,GAB1,Essential
YML010W,SPT5,Essential
YML015C,TAF11,Essential
YML023C,NSE5,Essential
YML025C,YML6,Essential
YML031W,NDC1,Essential
YML043C,RRN11,Essential
YML046W,PRP39,Essential
YML049C,RSE1,Essential
YML064C,TEM1,Essential
YML065W,ORC1,Essential
YML069W,POB3,Essential
YML077W,BET5,Essential
YML085C,TUB1,Essential
YML091C,RPM2,Essential
YML092C,PRE8,Essential
YML093W,UTP14,Essential
YML098W,TAF13,Essential
YML105C,SEC65,Essential
YML114C,TAF8,Essential
YML125C,PGA3,Essential
YML126C,ERG13,Essential
YML127W,RSC9,Essential
YML130C,ERO1,Essential
YMR001C,CDC5,Essential
YMR005W,TAF4,Essential
YMR013C,SEC59,Essential
YMR028W,TAP42,Essential
YMR033W,ARP9,Essential
YMR043W,MCM1,Essential
YMR047C,NUP116,Essential
YMR049C,ERB1,Essential
YMR059W,SEN15,Essential
YMR061W,RNA14,Essential
YMR076C,PDS5,Essential
YMR079W,SEC14,Essential
YMR093W,UTP15,Essential
YMR094W,CTF13,Essential
YMR108W,ILV2,Essential
YMR112C,MED11,Essential
YMR113W,FOL3,Essential
YMR117C,SPC24,Essential
YMR128W,ECM16,Essential
YMR131C,RRB1,Essential
YMR134W,YMR134W,Essential
YMR146C,TIF34,Essential
YMR149W,SWP1,Essential
YMR165C,PAH1,Essential
YMR168C,CEP3,Essential
YMR185W,YMR185W,Essential
YMR197C,VTI1,Essential
YMR200W,ROT1,Essential
YMR203W,TOM40,Essential
YMR208W,ERG12,Essential
YMR213W,CEF1,Essential
YMR217W,GUA1,Essential
YMR218C,TRS130,Essential
YMR220W,ERG8,Essential
YMR227C,TAF7,Essential
YMR229C,RRP5,Essential
YMR235C,RNA1,Essential
YMR236W,TAF9,Essential
YMR239C,RNT1,Essential
YMR240C,CUS1,Essential
YMR260C,TIF11,Essential
YMR268C,PRP24,Essential
YMR270C,RRN9,Essential
YMR277W,FCP1,Essential
YMR281W,GPI12,Essential
YMR288W,HSH155,Essential
YMR290C,HAS1,Essential
YMR290W-A,YMR290W-A,Essential
YMR296C,LCB1,Essential
YMR298W,LIP1,Essential
YMR301C,ATM1,Essential
YMR308C,PSE1,Essential
YMR309C,NIP1,Essential
YMR314W,PRE5,Essential
YNL002C,RLP7,Essential
YNL006W,LST8,Essential
YNL007C,SIS1,Essential
YNL026W,SAM50,Essential
YNL036W,NCE103,Essential
YNL038W,GPI15,Essential
YNL039W,BDP1,Essential
YNL050C,YNL050C,Essential
YNL061W,NOP2,Essential
YNL062C,GCD10,Essential
YNL075W,IMP4,Essential
YNL088W,TOP2,Essential
YNL102W,POL1,Essential
YNL110C,NOP15,Essential
YNL112W,DBP2,Essential
YNL113W,RPC19,Essential
YNL114C,YNL114C,Essential
YNL118C,DCP2,Essential
YNL124W,NAF1,Essential
YNL126W,SPC98,Essential
YNL131W,TOM22,Essential
YNL132W,KRE33,Essential
YNL137C,NAM9,Essential
YNL149C,PGA2,Essential
YNL150W,YNL150W,Essential
YNL151C,RPC31,Essential
YNL152W,INN1,Essential
YNL156C,NSG2,Essential
YNL158W,PGA1,Essential
YNL161W,CBK1,Essential
YNL162W,RPL42A,Essential
YNL163C,RIA1,Essential
YNL171C,YNL171C,Essential
YNL172W,APC1,Essential
YNL178W,RPS3,Essential
YNL180C,RHO5,Essential
YNL181W,YNL181W,Essential
YNL182C,IPI3,Essential
YNL188W,KAR1,Essential
YNL189W,SRP1,Essential
YNL207W,RIO2,Essential
YNL213C,RRG9,Essential
YNL216W,RAP1,Essential
YNL218W,MGS1,Essential
YNL221C,POP1,Essential
YNL222W,SSU72,Essential
YNL232W,CSL4,Essential
YNL240C,NAR1,Essential
YNL241C,ZWF1,Essential
YNL243W,SLA2,Essential
YNL244C,SUI1,Essential
YNL245C,CWC25,Essential
YNL247W,YNL247W,Essential
YNL256W,FOL1,Essential
YNL258C,DSL1,Essential
YNL260C,YNL260C,Essential
YNL263C,YIF1,Essential
YNL267W,PIK1,Essential
YNL272C,SEC2,Essential
YNL276C,YNL276C,Essential
YNL277W,MET2,Essential
YNL282W,POP3,Essential
YNL287W,SEC21,Essential
YNL290W,RFC3,Essential
YNL298W,CLA4,Essential
YNL306W,MRPS18,Essential
YNL308C,KRI1,Essential
YNL310C,ZIM17,Essential
YNL312W,RFA2,Essential
YNL313C,EMW1,Essential
YNL317W,PFS2,Essential
YNR003C,RPC34,Essential
YNR016C,ACC1,Essential
YNR017W,TIM23,Essential
YNR023W,SNF12,Essential
YNR026C,SEC12,Essential
YNR035C,ARC35,Essential
YNR038W,DBP6,Essential
